"id","name","description","strategy_criteria","buy_entry","buy_exit","sell_entry","sell_exit","sl_criteria","trlg_criteria","trlg_option","active"
"1016","Price-Cr-Ema850-SL-Ema850","Price-Cr-Ema850-SL-Ema850","prev_ema850","( curr_close > curr_ema850 && prev_close < prev_ema850 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema850  ) ","( curr_close < curr_ema850 && prev_close > prev_ema850 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema850  ) ","40","8","linear","0"
"1017","Price-Cr-Ema900-SL-Ema900","Price-Cr-Ema900-SL-Ema900","prev_ema900","( curr_close > curr_ema900 && prev_close < prev_ema900 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema900  ) ","( curr_close < curr_ema900 && prev_close > prev_ema900 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema900  ) ","40","8","linear","0"
"1018","Price-Cr-Ema950-SL-Ema950","Price-Cr-Ema950-SL-Ema950","prev_ema950","( curr_close > curr_ema950 && prev_close < prev_ema950 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema950  ) ","( curr_close < curr_ema950 && prev_close > prev_ema950 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema950  ) ","40","8","linear","0"
"1019","Price-Cr-Ema1000-SL-Ema1000","Price-Cr-Ema1000-SL-Ema1000","prev_ema1000","( curr_close > curr_ema1000 && prev_close < prev_ema1000 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1000  ) ","( curr_close < curr_ema1000 && prev_close > prev_ema1000 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1000  ) ","40","8","linear","0"
"1020","Price-Cr-Ema1050-SL-Ema1050","Price-Cr-Ema1050-SL-Ema1050","prev_ema1050","( curr_close > curr_ema1050 && prev_close < prev_ema1050 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1050  ) ","( curr_close < curr_ema1050 && prev_close > prev_ema1050 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1050  ) ","40","8","linear","0"
"1021","Price-Cr-Ema1100-SL-Ema1100","Price-Cr-Ema1100-SL-Ema1100","prev_ema1100","( curr_close > curr_ema1100 && prev_close < prev_ema1100 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1100  ) ","( curr_close < curr_ema1100 && prev_close > prev_ema1100 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1100  ) ","40","8","linear","0"
"1022","Price-Cr-Ema1150-SL-Ema1150","Price-Cr-Ema1150-SL-Ema1150","prev_ema1150","( curr_close > curr_ema1150 && prev_close < prev_ema1150 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1150  ) ","( curr_close < curr_ema1150 && prev_close > prev_ema1150 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1150  ) ","40","8","linear","0"
"1023","Price-Cr-Ema1200-SL-Ema1200","Price-Cr-Ema1200-SL-Ema1200","prev_ema1200","( curr_close > curr_ema1200 && prev_close < prev_ema1200 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1200  ) ","( curr_close < curr_ema1200 && prev_close > prev_ema1200 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1200  ) ","40","8","linear","0"
"1024","Price-Cr-Ema1250-SL-Ema1250","Price-Cr-Ema1250-SL-Ema1250","prev_ema1250","( curr_close > curr_ema1250 && prev_close < prev_ema1250 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1250  ) ","( curr_close < curr_ema1250 && prev_close > prev_ema1250 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1250  ) ","40","8","linear","0"
"1025","Price-Cr-Ema1300-SL-Ema1300","Price-Cr-Ema1300-SL-Ema1300","prev_ema1300","( curr_close > curr_ema1300 && prev_close < prev_ema1300 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1300  ) ","( curr_close < curr_ema1300 && prev_close > prev_ema1300 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1300  ) ","40","8","linear","0"
"1026","Price-Cr-Ema1350-SL-Ema1350","Price-Cr-Ema1350-SL-Ema1350","prev_ema1350","( curr_close > curr_ema1350 && prev_close < prev_ema1350 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1350  ) ","( curr_close < curr_ema1350 && prev_close > prev_ema1350 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1350  ) ","40","8","linear","0"
"1027","Price-Cr-Ema1400-SL-Ema1400","Price-Cr-Ema1400-SL-Ema1400","prev_ema1400","( curr_close > curr_ema1400 && prev_close < prev_ema1400 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1400  ) ","( curr_close < curr_ema1400 && prev_close > prev_ema1400 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1400  ) ","40","8","linear","0"
